Missile	*ID	pCltDoFunc	pCltHitFunc	pSrvDoFunc	pSrvHitFunc	pSrvDmgFunc	SrvCalc1	*srv calc 1 desc	Param1	*param1 desc	Param2	*param2 desc	Param3	*param3 desc	Param4	*param4 desc	Param5	*param5 desc	CltCalc1	*client calc 1 desc	CltParam1	*client param1 desc	CltParam2	*client param2 desc	CltParam3	*client param3 desc	CltParam4	*client param4 desc	CltParam5	*client param5 desc	SHitCalc1	*server hit calc 1 desc	sHitPar1	*server hit param1 desc	sHitPar2	*server hit param2 desc	sHitPar3	*server hit param3 desc	CHitCalc1	*client hit calc1 desc	cHitPar1	*client hit param1 desc	cHitPar2	*client hit param2 desc	cHitPar3	*client hit param3 desc	DmgCalc1	*damage calc 1	dParam1	*damage param1 desc	dParam2	*damage param2 desc	Vel	MaxVel	VelLev	Accel	Range	*CanSlow?	Radius	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	animrate	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	CollisionOverlap	ClientSend	NextHit	NextDelay	xoffset	yoffset	zoffset	Size	SrcTown	CltSrcTown	CanDestroy	ToHit	AlwaysExplode	Explosion	Town	NoUniqueMod	NoMultiShot	Holy	CanSlow	ReturnFire	GetHit	SoftHit	KnockBack	Trans	Pierce	MissileSkill	Skill	ResultFlags	HitFlags	HitShift	ApplyMastery	SrcDamage	Half2HSrc	SrcMissDmg	MinDamage	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDamage	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	MinELev1	MinELev2	MinELev3	MinELev4	MinELev5	EMax	MaxELev1	MaxELev2	MaxELev3	MaxELev4	MaxELev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood	DamageRate	TravelSound	HitSound	OnDiedSound	ProgSound	ProgOverlay	ExplosionMissile	SubMissile1	SubMissile2	SubMissile3	HitSubMissile1	HitSubMissile2	HitSubMissile3	HitSubMissile4	CltSubMissile1	CltSubMissile2	CltSubMissile3	CltHitSubMissile1	CltHitSubMissile2	CltHitSubMissile3	CltHitSubMissile4	MissileWeaponVFX	*eol
unholynovapoisonfuryspawner	1267	1	30	1	29																												64	range							64	range											25	25			7					255	255	255	0	0	1	expansion\twister	1024	40	16					3													2					1											1			Unholy Nova Poison																																							80	32												unholynovapoisonfury							unholynovapoisonfury					0
unholynovafirefury	1268	1	25	1	20																												10	range	3	max targets					10	range	3	max targets																		255	255	255	0	0	1	expansion\twister	1024	40	16					3					1								2					1											1																																											32												unholynovafirebolt							unholynovafirebolt					0
unholynovacoldfury	1269	1	25	1	20																												10	range	3	max targets					10	range	3	max targets																		255	255	255	0	0	1	expansion\twister	1024	40	16					3					1								2					1											1																																											32												unholynovacoldbolt							unholynovacoldbolt					0
unholynovalightningfury	1270	1	25	1	20																												10	range	3	max targets					10	range	3	max targets																		255	255	255	0	0	1	expansion\twister	1024	40	16					3					1								2					1											1																																											32												unholynovalightningbolt							unholynovalightningbolt					0
unholynovapoisonfury	1271	1	25	1	20																												10	range	3	max targets					10	range	3	max targets																		255	255	255	0	0	1	expansion\twister	1024	40	16					3					1								2					1											1																																											32												unholynovapoisonbolt							unholynovapoisonbolt					0
unholynovafirebolt	1272	1	10	1																																																	25	25			12					255	255	255	0	0	0	null	1024	1	16					3					1			1	2				2					1							1	1			1			Unholy Nova Fire																					fire																		32	32						fire_hit																		0
unholynovacoldbolt	1273	1		1																																																	25	25			12					255	255	255	0	0	0	null	1024	1	16					3					1			1	2				2					1							1	1			1			Unholy Nova Cold																					cold																		48	32																								0
unholynovalightningbolt	1274	1	10	1																																																	25	25			12					255	255	255	0	0	0	null	1024	1	16					3					1			1	2				2					1							1	1			1			Unholy Nova Lightning																					ltng																		64	32						lightning																		0
unholynovapoisonbolt	1275	1		1																																																	25	25			12					255	255	255	0	0	0	null	1024	1	16					3					1			1	2				2					1							1	1			1			Unholy Nova Poison																					pois																		80	32																								0
unholystrike	1276	1	4	1	5																												1								1																2					255	255	255	0	0	1	expansion\twister	1024	40	16					3					1								2					1											1																																											32												unholystrikebolt							unholystrikebolt					0
unholystrikebolt	1277	1		1																																																	25	25			15					255	255	255	0	0	0	null	1024	1	16					3					1			1	4				2					1							1	1			1			Unholy Strike																																							7	32			barbarian_circle_1																					0
warcrymon	1278	1	10	1		7																																											0	stun len (0 = skill)			25	25			15					192	192	192	1	0	0	WarcryShockwave	1024	16	16					3			1					1	2				1													1			1			War Cry Mon	4																				stun														15					32			barbarian_warcry_circle				doubledamage1																	0
killerscythe	1279	19	30	15	29				1												1												64								64																1					255	255	255	0	0	0	null	1024	1	16										1								1					1								1			1																																										5	32									killerscythelivecheck			killerscythenova				killerscythelivecheck			killerscythenova					0
killerscythenova	1280	1	4	1	5																												1								1																					255	255	255	0	0	0	null	1024	1	16										1								1					1								1			1																																										5	32												killerscythebolt							killerscythebolt					0
killerscythebolt	1281	20		16		1			16		4										16		4																								skill('Pierce Flesh and Bone'.blvl)*5						24	28		500	17					255	255	255	0	0	0	null	1024	1	16					3								1	1				3				1	1								1			1			Reap Souls	4			1																	mag																		5	32																								0
killerscythelivecheck	1282	50		28					0	damage freq (0 = look at skill)	1	radius (0 = look at skill)	0	start frame	2	end frame	30	lob			0	damage freq (0 = look at skill)	1	radius (0 = look at skill)	0	start frame	2	end frame	30	lob																											3					255	255	255	0	0	1	LightningBolt	1024	5	16										1								1					1											1																																											64									killerscythespiralspawnersec							killerscythespiralspawnersec								0
killerscythespiralspawnersec	1283	1	4	1	5																												64								64																			6		81	81	255	0	0	1	IceOrb	1024	16	16																		1					1							1	1			1																																											1												killerscythespiralspawner							killerscythespiralspawner					0
killerscythespiralspawner	1284	19		15					1	frequency	33	direction increment									1	frequency	33	direction increment																																	20			6		81	81	255	0	0	1	IceOrb	1024	16	16																		1					1							1	1			1																																											1									killerscythespiralfuryspawner							killerscythespiralfuryspawner								0
killerscythespiralfuryspawner	1285	1	30	1	29	1																											64								64						skill('Pierce Flesh and Bone'.blvl)*5						15	15			15					255	255	255	0	0	0	null	1024	1	16					3			1										1				1	1								1			1				4	32	8	1	32																mag																			32			necromancer_teeth_1									killerscythespiralfury							killerscythespiralfury					0
killerscythespiralfury	1286	1	25	1	20																												15		1						15		1																			255	255	255	0	0	0	null	1024	1	16					3			1										1					1								1			1																																											32												killerscythespiralbolt							killerscythespiralbolt					0
killerscythespiralbolt	1287	1		1		1																																									skill('Pierce Flesh and Bone'.blvl)*5						30	30			10					255	255	255	0	0	0	null	1024	1	16					3	1				1								1				1	1								1			1				4	32	8	1	32																mag																		5	32			necromancer_teeth_1																					0
zeal	1288	1		1	5																												64								64												100	100			2					0	0	0	0	0	1	null	1024	15	16					6	1				1													1											1																																										4	32												zealnova												0
zealnova	1289	1		1	20																												8		4						8		4																			255	255	255	0	0	0	Expansion\Mindblast	1024	10	16										1								1					1											1																																											32												zealbolt												0
zealbolt	1290	1		1		1																																									skill('Conviction'.blvl)*5						100	100			2					128	255	128	0	0	0	Javelin	1024	8	16					3			1		1								1				1	1							1	1			1			Zeal	4			1																	cold																		4	32																								0
lightningstrike	1291	1	30	1	29	1																											64								64						min(100,dl12)	convert to elemental%	49	base conversion	1	conversion/lvl	40	40			8			4		255	255	255	0	0	1	LightningStrike	1024	8	16					3			1										2				1	1							1	1			1			Lightning Strike	4			1																	ltng																		64	32			sorceress_lightning_1									lightningstrikefuryone							lightningstrikefuryone					0
lightningstrikefuryone	1292	1	25	1	20																												15	range	1	max targets					15	range	1	max targets																4		255	255	255	0	0	1	LightningStrike	1024	8	16					3													1					1							1	1			1																								ltng																		64	32												lightningstrikespawnertwo							lightningstrikespawnertwo					0
lightningstrikespawnertwo	1293	1	30	1	29	1																											64								64						min(100,dl12)	convert to elemental%	49	base conversion	1	conversion/lvl	40	40			8			4		255	255	255	0	0	1	LightningStrike	1024	8	16					3			1										2				1	1							1	1			1			Lightning Strike	4			1																	ltng																		64	32			sorceress_lightning_1									lightningstrikefurytwo							lightningstrikefurytwo					0
lightningstrikefurytwo	1294	1	25	1	20																												15	range	1	max targets					15	range	1	max targets																4		255	255	255	0	0	1	LightningStrike	1024	8	16					3													1					1							1	1			1																								ltng																		64	32												lightningstrikespawnerthree							lightningstrikespawnerthree					0
lightningstrikespawnerthree	1295	1	30	1	29	1																											64								64						min(100,dl12)	convert to elemental%	49	base conversion	1	conversion/lvl	40	40			8			4		255	255	255	0	0	1	LightningStrike	1024	8	16					3			1										2				1	1							1	1			1			Lightning Strike	4			1																	ltng																		64	32			sorceress_lightning_1									lightningstrikefurythree							lightningstrikefurythree					0
lightningstrikefurythree	1296	1	25	1	20																												15	range	1	max targets					15	range	1	max targets																4		255	255	255	0	0	1	LightningStrike	1024	8	16					3													1					1							1	1			1																								ltng																		64	32												lightningstrikespawnerfour							lightningstrikespawnerfour					0
lightningstrikespawnerfour	1297	1	30	1	29	1																											64								64						min(100,dl12)	convert to elemental%	49	base conversion	1	conversion/lvl	40	40			8			4		255	255	255	0	0	1	LightningStrike	1024	8	16					3			1										2				1	1							1	1			1			Lightning Strike	4			1																	ltng																		64	32			sorceress_lightning_1									lightningstrikefuryfour							lightningstrikefuryfour					0
lightningstrikefuryfour	1298	1	25	1	20																												15	range	1	max targets					15	range	1	max targets																4		255	255	255	0	0	1	LightningStrike	1024	8	16					3													1					1							1	1			1																								ltng																		64	32												lightningstrikespawnerfive							lightningstrikespawnerfive					0
lightningstrikespawnerfive	1299	1		1		1																																									min(100,dl12)	convert to elemental%	49	base conversion	1	conversion/lvl	40	40			8			4		255	255	255	0	0	1	LightningStrike	1024	8	16					3			1										2				1	1							1	1			1			Lightning Strike	4			1																	ltng																		64	32			sorceress_lightning_1																					0
fireexplosionmonster	1300	1		1	1																												5																								45			5		255	178	64	1	0	1	FireArrow	1024	8	16								1		1							-10	1				1	1	1						1	1			1	1	1		5	2	8																		fire																			32			sorceress_inferno					explodingarrowexp											fireexplosion2					0
fireexplosionmonsterexp	1301	1																																																							16			15		255	178	64	0	0	0	ExpArrowExplode	1024	16	16								1										1						1			1				1			1				4																																							1																								0
fireexplosionmonsterdmgexp	1302	1		1	1																												7	"Explosion Radius (If 0, then use Skill Calc1)"																							1											null	1024	16	16					3	1												1					1								1			1		1		5	2	8																		fire																		32	1				explosion_medium_1																				0
fireballmonster	1303	1	1	1	1																												5	"Explosion Radius (If 0, then use Skill Calc1)"							3	Explosion Radius for CltHitSubMissile1	1	Density for CltHitSubMissile1 (Higher value means less Missiles created)									20	20			50			7		255	178	64	1	0	1	Fireball	1024	5	16					3	1		1		1								1											1	1	1			1			Fire Ball Mon	5	2																			fire																			16			sorceress_fireball_1	sorceress_fireball_impact_1				explodingarrowexp											fireexplosion2					0
spikeboltone	1304	1		1																																																	24	24			20					255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1								1				1							1	1	1							4		8		128			1	3	3	3	3	3	2	3	3	3	3	3																				10	32																								0
spikebolttwo	1305	1		1																																																	24	24			20					255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1								1				1							1	1	1							4		8		128			1	3	3	3	3	3	3	3	3	3	3	3																				10	32																								0
spikeboltthree	1306	1		1																																																	24	24			20					255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1								1				1							1	1	1							4		8		128			1	3	3	3	3	3	4	3	3	3	3	3																				10	32																								0
spikeboltfour	1307	1		1																																																	24	24			20					255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1								1				1							1	1	1							4		8		128			1	4	4	4	4	4	4	4	4	4	4	4																				10	32																								0
spikeboltfive	1308	1		1																																																	24	24			20					255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1								1				1							1	1	1							4		8		128			2	5	5	5	5	5	7	5	5	5	5	5																				10	32																								0
monmage1	1309	1	4	1	5																												64								64												15	15			50			5		255	255	255	1	0	0	BoneSpirit	1024	8	16					3	1		1		1								1											1	1	1			1				4		8		128																																			32			necromancer_bonespirit_1	paladin_holybolt_impact_1								monmagepoison							monmagepoison					0
monmage2	1310	1	4	1	5																												2								2												17	17			50			5		255	255	255	1	0	1	GlacialSpike	1024	6	16					3	1		1		1								1											1	1	1			1				4		8		128																																			16			sorceress_glacialspike_1	sorceress_iceblast_impact_1								monmagecold							monmagecold					0
monmage3	1311	1		1																																																	20	20			50			5		255	255	255	1	0	1	Fireball	1024	5	16					3			1		1			1	1				1											1	1	1			1				4		8		128																																			16			monster_fireball	sorceress_firebolt_impact_1				shamanexp																0
monmage4	1312	1	25	1	20																												10		3						10		3										20	20			50			5		255	255	255	1	0	1	DiabloLightning	1024	15	16					3	1		1		1								1											1	1	1			1				4		8		128																																			16			diablo_laser									monmagelightningone							monmagelightningone					0
monmagepoison	1313	19		15					3		11										3		11																																		15					255	255	255	0	0	0	null	1024	1	16					3			1		1			1	2				1					1											1				4		8		128																																			1									monmagepoisonspawner							monmagepoisonspawner								0
monmagepoisonspawner	1314	1	30	1	29																												64								64												15	15			15					81	81	255	0	0	0	FrostNova	1024	14	16					3								1	2				1					1								1			1				4		8		128																																		32	32												monmagepoisonfury							monmagepoisonfury					0
monmagepoisonfury	1315	1	25	1	20																												10	range	1	max targets					10	range	1	max targets																		81	81	255	0	0	0	FrostNova	1024	14	16					3					1			1	2				1					1								1			1				4		8		128																																			32												monmagepoisonbolt							monmagepoisonbolt					0
monmagepoisonbolt	1316	1		1																																																	15	15			20					81	81	255	0	0	0	FrostNova	1024	14	16					3					1			1	2				1					1								1			1				4		8		128																																		32	32																								0
monmagelightningone	1317	1	25	1	20																												10	range	3	max targets					10	range	3	max targets									30	30			10					81	81	255	0	0	0	FrostNova	1024	14	16					3	1				1			1	1				1					1								1			1				4		8		128																																			32												monmagelightningtwo							monmagelightningtwo					0
monmagelightningtwo	1318	1		1																																																	30	30			10					81	81	255	0	0	0	FrostNova	1024	14	16					3	1				1			1	1				1					1								1			1				4		8		128																																			32																								0
monmagecold	1319	1		1																																																	70	70			4					255	255	255	0	0	0	null	1024	1	16					3					1			1	1				3					1								1			1				4		8		128																cold																			1																								0
unholyboltchain	1320	1		1																													15	range	2	targets					15	range	2	targets									15	15			40			5		0	0	0	5	5	1	UnholyBolt	1024	16	16					3	1		1		1								1					1						1	1	1			2			UnHolyBolt	4		8																																					1			greatermummy_unholybolt_1																					0
coldexplosionmonster	1321	1	14	1	4																												0	"Kill Missile on hit after creating HitSubMissile? (0=off, 1=on)"							3	Explosion Radius for CltHitSubMissile1	1	Density for CltHitSubMissile1 (Higher value means less Missiles created)													45			5		255	178	64	1	0	1	FireArrow	1024	8	16								1		1							-10	1				1	1						1	1	1			1	1																							cold																			32			sorceress_iceblast_impact_1									coldexplosionmonsterdmgexp							freezingarrowexp1	freezingarrowexp2				0
coldexplosionmonsterdmgexp	1322	1		1	1																												7	"Explosion Radius (If 0, then use Skill Calc1)"																							1											null	1024	16	16					3	1												1					1								1			1		1	Cold Explosion Mon	5	2	8																		cold																			1																								0
snovamon	1323	1	10	1																																																	12	12			22					255	255	255	0	0	0	ElectricNova	1024	13	16					3			1					1	4				2												1	1		100	1			Nova Mon	4																																						64	16			sorceress_nova				lightning																	0
firenovagolemmon	1324	1	4	1	5																												12								12																					255	255	255	0	0	0	null	1024	1	16					3			1		1								1					1											1																																											1												firenovagolemspawnermon							firenovagolemspawnermon					0
firenovagolemspawnermon	1325	20	30	16	29				15		3										15		3										64								64												25	25			15					81	81	255	1	1	0	FrostNova	1024	14	16					3			1										1					1								1			1			Fire Nova Golem Mon																																							32	32												firenovagolemfurymon							firenovagolemfurymon					0
firenovagolemfurymon	1326	1	25	1	20																												20	range	1	max targets					20	range	1	max targets																		81	81	255	0	0	0	FrostNova	1024	14	16					3					1								1					1								1			1																																											32												firenovagolemboltmon							firenovagolemboltmon					0
firenovagolemboltmon	1327	1		1																																																	25	25			20					81	81	255	2	2	0	FrostNova	1024	14	16					3			1		1								1					1								1			1		1	Fire Nova Golem Mon																																							32	32																								0
fireclawsmon	1328	6	25	1	20	1																											0	range (0=skill)	3	max (0 = skill)					0	range (0=skill)	3	max (0 = skill)			100						30	30			12					255	255	255	0	0	0	Expansion\Mindblast	1024	10	16		1	12	36	3					1			1	1				2				1	1							1	1			1		1	Fire Claws Mon	4	32	8																		fire																		32	32												fireclawsboltmon				clawfirestorm	firesmall	firemedium	fireclawsboltmon					0
fireclawsboltmon	1329	6		1		1																																									100						30	30			12					128	255	128	0	0	0	Javelin	1024	8	16		1	12	36	3					1			1	1				2				1	1							1	1			1		1	Fire Claws Mon	4	32	8																		fire																		32	32																clawfirestorm	firesmall	firemedium						0
chargedclawsmon	1330	1	25	1	20	1																											0	range (0=skill)	2	max (0 = skill)					0	range (0=skill)	2	max (0 = skill)			100						15	15			35					255	255	255	0	0	0	Expansion\Mindblast	1024	10	16					3	1				1			1	1				2				1									1			1		1	Charged Claws Mon	4	32	8																		ltng																		64	32			sorceress_chargedbolt_1									chargedclawssecondarymon							chargedclawssecondarymon					0
chargedclawssecondarymon	1331	1	25	1	20	1																											0	range (0=skill)	2	max (0 = skill)					0	range (0=skill)	2	max (0 = skill)			100						15	15			25					255	255	255	0	0	0	Expansion\Mindblast	1024	10	16					3	1				1			1	1				2				1									1			1		1	Charged Claws Mon	4	32	8																		ltng																		64	32			sorceress_chargedbolt_1									chargedclawstertiarymon							chargedclawstertiarymon					0
chargedclawstertiarymon	1332	1		1		1																																									100						15	15			25					255	255	255	0	0	0	Expansion\Mindblast	1024	10	16					3	1				1			1	1				2				1									1			1		1	Charged Claws Mon	4	32	8																		ltng																		64	32			sorceress_chargedbolt_1																					0
zealmon	1333	1	4	1	5																												64								64												70	70			1					0	0	0	0	0	1	null	1024	15	16										1								2				1	1				1				1			1																																										2	32												zealnovamon							zealnovamon					0
zealnovamon	1334	1	25	1	20																												6		5						6		5																			255	255	255	0	0	0	Expansion\Mindblast	1024	10	16										1								2				1	1				1				1			1																																											32												zealboltmon							zealboltmon					0
zealboltmon	1335	1		1																																																	70	70			3					128	255	128	0	0	0	Javelin	1024	8	16					3					1			1	4				2				1	1				1			1	1			1			Zeal Mon	4	32	8																																				2	32																								0
volcanodeathmon	1336	50		28					1	damage freq (0 = look at skill)	10	radius (0 = look at skill)	3	start frame	25	end frame	30	lob			1	damage freq (0 = look at skill)	10	radius (0 = look at skill)	3	start frame	25	end frame	30	lob																											26					0	0	0	0	0	1	Expansion\volcano_base	1024	30	16		1	17	18					1			1	1	12				3	1	25									1		1																																														1			druid_volcano						volcanodeathmondebris							volcanodeathmondebris								0
volcanodeathmondebris	1337	1	55	1	51																																																14	14			16					0	0	0	0	0	1	expansion\volcano_rock	1024	15	16																							1	1			1							1																																											1												volcanodeathmonexp							volcanodeathmonexp					0
volcanodeathmonexp	1338	1		1	1																												5	radius																												0	0	0	0	0	0	Expansion\rock_lava_pool	1024	18	16					3			1										1					1	1					1	1	1					1		5	2	8																		fire																		32	1			andariel_fire_loop					explodingarrowvis																0
frostnovamon	1339	1	10	1																																																	24	24			20					81	81	255	0	0	0	Icebolt	1024	6	16					3			1	1	1			1	1				1			1						1		1	1	1			1		1	Frost Nova Mon	4																																						48	16			sorceress_icebolt_1				ice_explode																	0
immolationmon	1340	1		1																																																	20	20			20			7		255	178	64	1	0	1	Fireball	1024	5	16					3	1		1		1			1	5				1											1	1	1			1		1	Immolation Mon	5	2																			fire																		32	16			sorceress_fireball_1	sorceress_fireball_impact_1																				0
lightningstrikemon	1341	1	25	1	20																												13	range	2	max targets					13	range	2	max targets																4		255	255	255	0	0	1	LightningStrike	1024	8	16								1		1								2				1	1						1	1	1			1		1	Lightning Strike Mon	4																				ltng																		64	32			sorceress_lightning_1									lightningstriketwomon							lightningstriketwomon					0
lightningstriketwomon	1342	1	25	1	20																												13	range	2	max targets					13	range	2	max targets									20	20			20			4		255	255	255	0	0	1	LightningStrike	1024	8	16					3	1		1		1			1	1				2				1							1	1	1			1		1	Lightning Strike Mon	4																				ltng																		64	32			sorceress_lightning_1				lightning					lightningstrikethreemon							lightningstrikethreemon					0
lightningstrikethreemon	1343	1		1																													13	range	2	max targets					13	range	2	max targets									20	20			20			4		255	255	255	0	0	1	LightningStrike	1024	8	16					3	1		1		1			1	1				2				1							1	1	1			1		1	Lightning Strike Mon	4																				ltng																		64	32			sorceress_lightning_1				lightning																	0
coldstrikemon	1344	1	4	1	5																												4								4																			4		255	255	255	0	0	1	LightningStrike	1024	8	16								1		1								2				1	1						1	1	1			1		1	Cold Strike Mon	4																				cold																		48	32												coldstrikemonbolt							coldstrikemonbolt					0
coldstrikemonbolt	1345	20		16					18		3										20		4																														30	30		-750	15			4		255	255	255	4	4	1	LightningStrike	1024	8	16								1		1			1	2				2				1	1						1	1	1			1		1	Cold Strike Mon	4																				cold																		48	32				sorceress_blizzard_impact_1																				0
poisonexplosioncloudmon	1346	4		3					8	"Slow drift speed, fourths."	16	"Fast drift speed, fourths."									24	spawn rate	18	number	24	radius																															40					128	255	128	0	0	1	PoisonSparks	1024	31	16		1	10	19	3			1	1	1		1						2											1					1		1	Poison Explosion Mon			8																																					8			object_poison_loop													poisonpuff								0
coldstunsplashmon	1347	1		1	5																												1	damage radius																												255	178	64	0	0	0	null	1024	1	16					3	1		1										1				1	1						1	1	1			1																								stun																			32												coldstunsplashmonhit												0
coldstunsplashmonhit	1348	1		1		7																																											50				5	30		10000	7					255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3			1					1	2				2				1	1								1			1		1	Cold Stun Mon	4																				stun																		48	64																								0
hellsgatemon	1349	1	10	1																																																	25	25			25			3	4	255	255	255	1	3	1	SoulForgeRisingSoul	1024	33	16		1	8	19	3			1		1			1	3				2											1	1	1			1		1	Hells Gate Mon	4		8																																					16			quest_hellforge_soul_1																					0
teethmon	1350	1		1																																																	25	25			50			3		255	255	255	1	0	0	bonewall	1024	5	2		1		15	3	1		1		1			1	4				2											1	1	1		25			1	Teeth Mon	4																																							32			necromancer_teeth_1	paladin_holybolt_impact_1				bonewallhit																0
immolationfirediablo	1351	5		5		3																																											19	softhit chance (128)							35			5	4	255	178	64	0	0	1	groundFireBig	1024	37	16		1	12	36	3				1			1						1	1	12							1		1					1						4																		fire	4	4	6	12	18	18	8	6	12	24	32	32						32	1		20	object_fire_loop_magic																					0
speedbuffaoemon	1352	1		1	18																																																30	30			25					192	192	192	1	0	0	BAYellShockWave01	1024	15	16					3		1	1					1	1				1																1		1																																									32			barbarian_circle_1																					0
damagebuffaoemon	1353	1		1	18																																																30	30			25					192	192	192	1	0	0	BAYellShockWave01	1024	15	16					3		1	1					1	1				1																1		1																																									32			barbarian_circle_1																					0
defensebuffaoemon	1354	1		1	18																																																30	30			25					192	192	192	1	0	0	BAYellShockWave01	1024	15	16					3		1	1					1	1				1																1		1																																									32			barbarian_circle_1																					0
healbuffaoemon	1355	1		1	18																																																30	30			25					192	192	192	1	0	0	BAYellShockWave01	1024	15	16					3		1	1					1	1				1																1		1																																									32			barbarian_circle_1																					0
chargedboltmon	1356	1	10	1																																																	24	24			25			3	4	255	255	255	1	0	1	ChargedBolt	1024	10	16		1	2	8	3	1		1		1			1	1				1												1	1			1		1	Charged Bolt Mon	4																																						64	16			sorceress_chargedbolt_1				lightning																	0
spikenovamon	1357	1		1																																																	40	40			15					255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3			1					1	4				2				1	1								1			1		1	Spike Nova Mon	4																																						10	64																								0
scattershot	1358	1	4	1	5																												64								64												40	40			40					125	125	125	0	0	0	MissileDagger	1024	1	16					3	1		1		1			1	1				1				1								1	1				1			4																																						10	32			weapon_throw_1									scattershotspawner							scattershotspawner					0
scattershotspawner	1359	50		28					3	damage freq (0 = look at skill)	8	radius (0 = look at skill)	1	start frame	50	end frame	30	lob			3	damage freq (0 = look at skill)	8	radius (0 = look at skill)	1	start frame	50	end frame	30	lob																											15		1			125	125	125	0	0	0	MissileDagger	1024	1	16								1		1			1	1				1				1								1	1				1			4																																						10	32									scattershotdebris							scattershotdebris								0
scattershotdebris	1360	1	4	1	5																												64								64												30	30			10					0	0	0	0	0	1	expansion\volcano_rock	1024	15	16																						1	1				1							1				4																																							1			weapon_throw_1									scattershotfury							scattershotfury					0
scattershotfury	1361	1	25	1	20																												12	range	1	max targets					12	range	1	max targets													2					0	0	0	0	0	1	expansion\volcano_rock	1024	15	16																						1	1				1							1				4																																							1			weapon_throw_1									scattershotbolt							scattershotbolt					0
scattershotbolt	1362	1		1																																																	60	60			5					255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3	1		1					1	1				1				1	1								1			1	1			4																																						10	64																								0
shurikentrap	1363	1	4	1	5																												64								64																100		5			125	125	125	10	10	0	MissileDagger	1024	1	16					3	1				1								3					1							1	1																																													6	32												shurikentrapspawner							shurikentrapspawner					0
shurikentrapspawner	1364	50		28					0	damage freq (0 = look at skill)	1	radius (0 = look at skill)	0	start frame	17	end frame	30	lob			0	damage freq (0 = look at skill)	1	radius (0 = look at skill)	0	start frame	17	end frame	30	lob																											21					125	125	125	0	0	0	MissileDagger	1024	1	16								1										1																																																										6	32									shurikentrapmainspawner							shurikentrapmainspawner								0
shurikentrapmainspawner	1365	1	55	1	51																																																70	70			2					0	0	0	0	0	1	null	1024	15	16																							1	1			1							1																																											1												shurikentrapsingletargetfury	shurikentrapfury						shurikentrapsingletargetfury	shurikentrapfury				0
shurikentrapsingletargetfury	1366	1		1	20																												3	range	1	max targets					3	range	1	max targets																		0	0	0	0	0	1	expansion\volcano_rock	1024	15	16																							1				1							1																																											1												shurikentrapsingletargetbolt												0
shurikentrapsingletargetbolt	1367	1		1																																																	80	80			2					255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3	1		1		1								1				1	1								1			1			Shuriken Trap	4			1																																			6	64																								0
shurikentrapfury	1368	1	25	1	20																												0	range	0	max targets					0	range	0	max targets																		0	0	0	0	0	1	expansion\volcano_rock	1024	15	16																							1				1							1																																											1												shurikentrapbolt							shurikentrapbolt					0
shurikentrapbolt	1369	1		1																																																	40	40			20					255	255	255	2	2	0	ExpArrowExplode	1024	13	16					3	1		1		1								1				1	1								1			1			Shuriken Trap	4			1																																			6	64			weapon_throw_1																					0
extralootdiablo	1370	1		1	6																												919		0																											255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3			1					1	2				2				1	1								1			1																																											64																								0
extralootmephisto	1371	1		1	6																												920		0																											255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3			1					1	2				2				1	1								1			1																																											64																								0
extralootbaal	1372	1		1	6																												921		0																											255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3			1					1	2				2				1	1								1			1																																											64																								0
extralootandariel	1373	1		1	6																												922		0																											255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3			1					1	2				2				1	1								1			1																																											64																								0
extralootduriel	1374	1		1	6																												923		0																											255	255	255	0	0	0	ExpArrowExplode	1024	13	16					3			1					1	2				2				1	1								1			1																																											64																								0
flameburstmon	1375	19		15					1	frequency	19	direction increment									1	frequency	19	direction increment																													30	30			20			6		81	81	255	1	0	1	null	1024	16	16					3			1		1								2					1						1	1	1			1			Flameburst Mon	4																																						32	1		41	object_fire_loop_magic						flameburstfiremon							flameburstfiremon								0
flameburstfiremon	1376	5		5		3																											19	softhit chance (128)															19	% chance for softhit (#/128)							75			5	4	255	178	64	0	0	1	groundFireBig	1024	37	16		1	12	36	3				1			1						3	1	12							1							1			Flameburst Mon																																							32	1		41	object_fire_loop_magic																					0
