code	*Id	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	uiRangeType	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
kick/time	230	1	18	item_kick_damage_bytime																												+# Kick Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
deadly/time	231	1	18	item_deadlystrike_bytime																												#% Deadly Strike (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
gems%/time	232																																				0
pierce-fire	233	1	1	passive_fire_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-ltng	234	1	1	passive_ltng_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
pierce-cold	235	1	1	passive_cold_pierce																												-#% to Enemy Cold Resistance		Min %	Max %		0
pierce-pois	236	1	1	passive_pois_pierce																												-#% to Enemy Poison Resistance		Min %	Max %		0
dmg-mon	237																																				0
dmg%-mon	238																																				0
att-mon	239																																				0
att%-mon	240																																				0
ac-mon	241																																				0
ac%-mon	242																																				0
indestruct	243	1	20																													Indestructible		1	1		0
charged	244	1	19	item_charged_skill																											6	Level # [Skill] (#/# Charges)	Skill	# of Max Charges	Skill Level		0
extra-fire	245	1	1	passive_fire_mastery																												+#% to Fire Skill Damage		Min %	Max %		0
extra-ltng	246	1	1	passive_ltng_mastery																												+#% to Lightning Skill Damage		Min %	Max %		0
extra-cold	247	1	1	passive_cold_mastery																												+#% to Cold Skill Damage		Min %	Max %		0
extra-pois	248	1	1	passive_pois_mastery																												+#% to Poison Skill Damage		Min %	Max %		0
dmg-elem	249	1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength				Adds #-# Fire/Lightning/Cold Damage		Min #	Max #		0
dmg-elem-min	250	1	1	firemindam			3	lightmindam			3	coldmindam																				+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
dmg-elem-max	251	1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength																+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
all-stats	252	1	1	strength			3	energy			3	dexterity			3	vitality																+# to all Attributes		Min #	Max #		0
addxp	253	1	1	item_addexperience																												+#% to Experience Gained		Min %	Max %		0
heal-kill	254	1	1	item_healafterkill																												+# Life after each Kill		Min #	Max #		0
cheap	255	1	1	item_reducedprices																												Reduces all Vendor Prices #%		Min %	Max %		0
rip	256	1	1	item_restinpeace																												Slain Monsters Rest in Peace		1	1		0
att-mon%	257	1	24	attack_vs_montype																												#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
dmg-mon%	258	1	24	damage_vs_montype																												#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
kill-skill	259	1	11	item_skillonkill																											7	#% Chance to Cast Level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
death-skill	260	1	11	item_skillondeath																											7	#% Chance to Cast Level # [Skill] when you Die	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
levelup-skill	261	1	11	item_skillonlevelup																											7	#% Chance to Cast Level # [Skill] when you Level-Up	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
skill-rand	262	1	12	item_singleskill																											2	+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID		0
fade	263	1	17	fade																														Min #	Max #	Visuals Only	0
levelreq	264	1	1	item_levelreq																												Required Level: #		Min #	Max #		0
ethereal	265	1	23																													Ethereal		1	1		0
oskill	266	1	22	item_nonclassskill			24	item_nonclassskill_display																							5	+# to [Skill]	Skill	Min #	Max #		0
state	267	1	24	state																													State	1	1	Applies a State on the unit	0
randclassskill	268	1	36	item_addclassskills		2																									3	+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
noconsume	269	1	1	item_noconsume																												+# to not Consume Quantity		Min %	Max %		0
pierce-immunity-cold	270	1	1	item_pierce_cold_immunity																												Monster Cold Immunity is Sundered		Min %	Max %		0
pierce-immunity-fire	271	1	1	item_pierce_fire_immunity																												Monster Fire Immunity is Sundered		Min %	Max %		0
pierce-immunity-light	272	1	1	item_pierce_light_immunity																												Monster Lightning Immunity is Sundered		Min %	Max %		0
pierce-immunity-poison	273	1	1	item_pierce_poison_immunity																												Monster Poison Immunity is Sundered		Min %	Max %		0
pierce-immunity-damage	274	1	1	item_pierce_damage_immunity																												Monster Physical Immunity is Sundered		Min %	Max %		0
pierce-immunity-magic	275	1	1	item_pierce_magic_immunity																												Monster Magic Immunity is Sundered		Min %	Max %		0
charge-noconsume	276	1	1	item_charge_noconsume																												+#% chance for finishing moves to not consume charges		Min %	Max %		0
war	277	1	21	item_addclassskills		7																										+# to Warlock Skill Levels		Min #	Max #		0
dmg-mag/lvl	278	1	17	item_magic_damagemax_perlevel																												+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
pierce-mag	279	1	1	passive_mag_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-dmg	280	1	1	passive_dmg_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
affix-rand	281	1	25																													Add random affix from property	Index of property to use	Min Value for affix	Max Value for affix		0
extra-skill-dmg%-rand	282	1	1	passive_fire_mastery			1	passive_ltng_mastery			1	passive_cold_mastery			1	passive_pois_mastery			1	passive_mag_mastery			7	dmg%								used to with affix-rand to roll a random stat					0
war-tab-rand	283	1	10	item_addskill_tab		21	10	item_addskill_tab		22	10	item_addskill_tab		23																							0
extra-mag	284	1	1	passive_mag_mastery																												+#% to Magic Skill Damage		Min %	Max %		0
rune-white	285	1	1	rune_white																																none	0
rune-red	286	1	1	rune_red																																none	0
rune-yellow	287	1	1	rune_yellow																																none	0
rune-orange	288	1	1	rune_orange																																none	0
rune-green	289	1	1	rune_green																																none	0
rune-gold	290	1	1	rune_gold																																none	0
rune-purple	291	1	1	rune_purple																																none	0
rune-lod-low	292	1	1	rune_lod_low																																none	0
rune-lod-medium	293	1	1	rune_lod_medium																																none	0
rune-lod-high	294	1	1	rune_lod_high																																none	0
strpercent	295	1	1	strengthpercent																																none	0
dexpercent	296	1	1	dexteritypercent																																none	0
vitpercent	297	1	1	vitalitypercent																																none	0
enepercent	298	1	1	energypercent																																none	0
ignore-undead-resist	299	1	1	skill_bypass_undead																																none	0
ignore-demon-resist	300	1	1	skill_bypass_demons																																none	0
ignore-beast-resist	301	1	1	skill_bypass_beasts																																none	0
passive-summ-life	302	1	1	passive_summ_life																																none	0
item-skill-cooldown	303	1	1	item_skill_cooldown																																none	0
trap-limit	304	1	1	trap_limit																																none	0
passive-summ-elemental-resist	305	1	1	passive_summ_elemental_resist																																none	0
passive-summ-phys-resist	306	1	1	passive_summ_phys_resist																																none	0
pierce-res-all	307	1	1	passive_fire_pierce			3	passive_cold_pierce			3	passive_ltng_pierce			3	passive_pois_pierce																+# to all Attributes		Min #	Max #	none	0
passive-summ-limit	308	1	1	passive_summ_limit																																none	0
twister-limit	309	1	1	twister_limit																																none	0
blade-nova-max-res	310	1	1	blade_nova_max_res																																none	0
monrandombonus	311	1	1	item_fastercastrate			3	item_fastermovevelocity			3	item_fasterattackrate			3	item_tohit_percent			3	damagepercent																none	0
abs-elem%	312	1	1	item_absorbfire_percent			3	item_absorbcold_percent			3	item_absorblight_percent																								none	0
monrandomelemdambonus	313	1	1	coldmaxdam			3	firemaxdam			3	lightmaxdam																								none	0
takedmg-skill	314	1	11	item_skillontakedmg																												#% Chance to Cast Level # [Skill] when taking damage	Skill	"% Chance (If 0, then default to 5)"	Skill Level	none	0
monrandommagicdambonus	315	1	1	coldmaxdam			3	firemaxdam			3	lightmaxdam																								none	0
vit-h2	316	1	1	vitality_hidden2																																none	0
maxhpflagprop	317	1	1	maxhpflag																																none	0
maxmanaflagprop	318	1	1	maxmanaflag																																none	0
item-upgraded	319	1	1	item_upgraded																																none	0
anointed	320	1	1	item_anointed																																none	0
anointed_dummy	321	1	1	item_anointed_dummy																																none	0
extra-ele-all	322	1	1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery			3	passive_pois_mastery																				none	0
skeleton-trade	323	1	1	item_skeleton_trade																																none	0
max-skeleton-king	324	1	1	item_max_skeleton_king																																none	0
aegis-of-corruption	325	1	1	item_aegis_of_corruption																																none	0
hydra-cap-increase	326	1	1	item_hydracapincrease																																none	0
mana-on-striking	327	1	1	manaonstriking																																none	0
holy-aura-tick-rate	328	1	1	item_holyauratickrate																																none	0
charge-up-duration	329	1	1	item_chargeupduration																																none	0
necro-summons-extra-skills	330	1	1	item_necrosummonsextraskills																																none	0
druid-summons-pounce	331	1	1	item_druidsummonspounce																																none	0
life-on-striking	332	1	1	lifeonstriking																																none	0
teleport-immo	333	1	1	item_teleportimmo																																none	0
crossbow-passive	334	1	1	item_crossbowpassive																																none	0
abs-elem	335	1	1	item_absorbfire			3	item_absorbcold			3	item_absorblight																								none	0
total-elemental-min-damage	336	1	1	total_elemental_min_damage																																none	0
total-elemental-max-damage	337	1	1	total_elemental_max_damage																																none	0
total-poison-magic-min-damage	338	1	1	total_poison_magic_min_damage																																none	0
total-poison-magic-max-damage	339	1	1	total_poison_magic_max_damage																																none	0
total-elemental-damage	340	1	1	total_elemental_min_damage			3	total_elemental_max_damage																												none	0
total-poison-magic-damage	341	1	1	total_poison_magic_min_damage			3	total_poison_magic_max_damage																												none	0
magic-min	342	1	1	magicmindam																																none	0
magic-max	343	1	1	magicmaxdam																																none	0
spell-damage	344	1	1	passive_fire_mastery			3	passive_cold_mastery			3	passive_ltng_mastery			3	passive_pois_mastery			3	passive_mag2_mastery			3	passive_wind_mastery												none	0
junk-01	345	1	1	junk_01																																none	0
junk-02	346	1	1	junk_02																																none	0
junk-03	347	1	1	junk_03																																none	0
junk-04	348	1	1	junk_04																																none	0
junk-05	349	1	1	junk_05																																none	0
junk-06	350	1	1	junk_06																																none	0
junk-07	351	1	1	junk_07																																none	0
junk-08	352	1	1	junk_08																																none	0
item-01	353	1	1	item_01																																none	0
item-02	354	1	1	item_02																																none	0
item-03	355	1	1	item_03																																none	0
item-04	356	1	1	item_04																																none	0
item-05	357	1	1	item_05																																none	0
item-06	358	1	1	item_06																																none	0
item-07	359	1	1	item_07																																none	0
item-08	360	1	1	item_08																																none	0
item-09	361	1	1	item_09																																none	0
item-10	362	1	1	item_10																																none	0
item-11	363	1	1	item_11																																none	0
item-12	364	1	1	item_12																																none	0
item-13	365	1	1	item_13																																none	0
item-14	366	1	1	item_14																																none	0
item-15	367	1	1	item_15																																none	0
item-16	368	1	1	item_16																																none	0
item-17	369	1	1	item_17																																none	0
item-18	370	1	1	item_18																																none	0
item-19	371	1	1	item_19																																none	0
item-20	372	1	1	item_20																																none	0
item-21	373	1	1	item_21																																none	0
item-22	374	1	1	item_22																																none	0
item-23	375	1	1	item_23																																none	0
placeholdertokenold	376																																			none	0
dmgpct	377	1	1	item_maxdamage_percent			1	item_mindamage_percent																												none	0
tinkerflag2	378	1	1	item_tinkerflag2																																none	0
item-24	379	1	1	item_24																																none	0
junk-09	380	1	1	junk_09																																none	0
rune-50	381	1	1	rune_50																																none	0
xtal-00	382	1	1	xtal_00																																none	0
xtal-01	383	1	1	xtal_01																																none	0
xtal-02	384	1	1	xtal_02																																none	0
xtal-03	385	1	1	xtal_03																																none	0
xtal-04	386	1	1	xtal_04																																none	0
xtal-05	387	1	1	xtal_05																																none	0
xtal-06	388	1	1	xtal_06																																none	0
xtal-07	389	1	1	xtal_07																																none	0
xtal-08	390	1	1	xtal_08																																none	0
xtal-09	391	1	1	xtal_09																																none	0
xtal-10	392	1	1	xtal_10																																none	0
xtal-11	393	1	1	xtal_11																																none	0
meldflag	394	1	1	item_meldflag																																none	0
extra-mag2	395	1	1	passive_mag2_mastery																																none	0
extra-wind	396	1	1	passive_wind_mastery																																none	0
junk-11	397	1	1	junk_11																																none	0
junk-12	398	1	1	junk_12																																none	0
junk-13	399	1	1	junk_13																																none	0
junk-14	400	1	1	junk_14																																none	0
junk-15	401	1	1	junk_15																																none	0
junk-16	402	1	1	junk_16																																none	0
junk-17	403	1	1	junk_17																																none	0
junk-18	404	1	1	junk_18																																none	0
jewelflag	405	1	1	item_jewelflag																																none	0
mercflag	406	1	1	item_mercflag																																none	0
all-stats/lvl	407	1	17	item_strength_perlevel			17	item_energy_perlevel			17	item_dexterity_perlevel			17	item_vitality_perlevel																					0
extra-summ	408	1	1	passive_summ_mastery																																none	0
haste	409	1	1	attackrate			1	velocitypercent																												none	0
bigcraftflag	410	1	1	item_extraflag																																none	0
coldskill	411	1	21	item_elemskill		4	3	item_elemskillcold																												none	0
lightningskill	412	1	21	item_elemskill		2	3	item_elemskilllight																												none	0
poisonskill	413	1	21	item_elemskill		5	3	item_elemskillpoison																												none	0
magicskill	414	1	21	item_elemskill		3	3	item_elemskillmagic																												none	0
splash	415	1	11	item_splashonhit																												splash	proc_SplashDamage	100	1		0
corrupted	416	1	1	item_corrupted																																	0
corrupted_dummy	417	1	1	item_corrupted_dummy																																	0
item-25	418	1	1	item_25																																none	0
curse-res	419	1	1	curse_resistance																																none	0
auraflag	420	1	1	item_auraflag																																none	0
all-stats-percent	421	1	1	strengthpercent			3	energypercent			3	dexteritypercent			3	vitalitypercent																+#% Bonus to all Attributes		Min #	Max #		0
mythicaldesc	422	1	24	item_mythicaldesc																																	0
soul-counter	423	1	1	soul_counter																																	0
craftflag3	424	1	1	burningmin																																	0
craftflag4	425	1	1	burningmax																																	0
all-speeds	426	1	1	item_fastermovevelocity			3	item_fasterblockrate			3	item_fastergethitrate			3	item_fastercastrate			3	item_fasterattackrate												+#% to All Speeds		Min #	Max #		0
ascendancy-upgrade	427	1	1	ascendancy_upgrade																																	0
extra-crossbow-bolts	428	1	1	extra_crossbow_bolts																																	0
max-magic-pois-res	429	1	1	maxpoisonresist			3	maxmagicresist																													0
dodge	430	1	1	passive_dodge			3	passive_avoid			3	passive_evade																									0
kill-display	431	1	17	kill_display																																	0
oskill-rand	432	1	12	item_nonclassskill																												+# to [Skill)	Skill Level	Min Skill ID	Max Skill ID		0
pierce-ele-res	433	1	1	passive_fire_pierce			3	passive_cold_pierce			3	passive_ltng_pierce																									0
extra-summ-total	434	1	1	passive_summ_mastery_total																																none	0
res-elem	435	1	1	fireresist			3	lightresist			3	coldresist																						Min %	Max %		0
res-elem-max	436	1	1	maxfireresist			3	maxlightresist			3	maxcoldresist																						Min %	Max %	Currently Not Used	0
spell-elemental-damage	437	1	1	passive_fire_mastery			3	passive_cold_mastery			3	passive_ltng_mastery																								none	0
mythicaldescmanaflag	438	1	24	item_mythicaldesc			3	maxmanaflag																													0
hp-mana	439	1	1	maxhp			3	maxmana																								+# to Life		Min #	Max #		0
randclassskillsingular	440	1	36	item_addclassskills		1																										+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
sanctified	441	1	1	item_sanctification																																	0
sanctified-dummy	442	1	1	item_sanctification_dummy																																	0
mythicaldescascendancyflag	443	1	24	item_mythicaldesc			3	ascendancy_upgrade																													0
mythicaldescnoflag	444	1	24	item_mythicaldesc																																	0
aura-hidden	445	1	22	item_aura																													Skill	Min #	Max #		0
oskill-hidden	446	1	22	item_nonclassskill																													Skill	Min #	Max #		0
takedmg-skill-hidden	447	1	11	item_skillontakedmg_hidden																												#% Chance to Cast Level # [Skill] when taking damage	Skill	"% Chance (If 0, then default to 5)"	Skill Level	none	0
kill-skill-hidden	448	1	11	item_skillonkill_hidden																												#% Chance to Cast Level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
extra-ele	449	1	1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery																								none	0
mosaic-repeat-chance	450	1	1	mosaic_repeat_chance																													Skill	Min #	Max #		0
has-shuriken	451	1	1	has_shuriken																																	0
total-fire-resist	452	1	1	total_fire_resist																																none	0
total-cold-resist	453	1	1	total_cold_resist																																none	0
total-lightning-resist	454	1	1	total_lightning_resist																																none	0
total-poison-resist	455	1	1	total_poison_resist																																none	0
total-all-resists	456	1	1	total_fire_resist			3	total_cold_resist			3	total_lightning_resist			3	total_poison_resist																					0
total-stamina-bonus	457	1	1	skill_staminapercent																																none	0
extra-aether	458	1	1	passive_pois_mastery			3	passive_mag2_mastery			3	passive_wind_mastery																								none	0
attackrate	459	1	1	attackrate																																	0
weapon-mastery	460	1	1	weaponmastery																																none	0
total-magic-resist	461	1	1	total_magic_resist																																none	0
generic-total-multiplier	462	1	1	generictotalmultiplier																																none	0
fear	463	1	1																																	flee when hit	0
vit-h	464	1	1	vitality_hidden																																none	0
craftflag	465	1	1	item_craftflag																																none	0
craftflag2	466	1	1	item_craftflag2																																none	0
tinkerflag	467	1	1	item_tinkerflag																																none	0
randomize	468	1	1	item_randomize																																none	0
gem-v	469	1	1	gem_v																																none	0
gem-y	470	1	1	gem_y																																none	0
gem-b	471	1	1	gem_b																																none	0
gem-g	472	1	1	gem_g																																none	0
gem-r	473	1	1	gem_r																																none	0
gem-w	474	1	1	gem_w																																none	0
gem-s	475	1	1	gem_s																																none	0
gem-k	476	1	1	gem_k																																none	0
att-skill-hidden	477	1	11	item_skillonattack_hidden																													Skill	Min #	Max #		0
hit-skill-hidden	478	1	11	item_skillonhit_hidden																													Skill	Min #	Max #		0
velocitypercent	479	1	1	velocitypercent																																none	0
dmg-min-total%	480	1	1	item_maxdamage_percent2																																	0
dmg-max-total%	481	1	1	item_mindamage_percent2																																	0
total-physical-damage%	482	1	1	item_mindamage_percent2			3	item_maxdamage_percent2																													0
total-attack-rate	483	1	1	totalattackrate																																	0
total-attack-speed	484	1	1	totalattackspeed																																	0
total-ac%	485	1	1	armor_override_percent																																	0
potion-bonus	486	1	1	potionmultiplier																																	0
gethit-skill-hidden	487	1	11	item_skillongethit_hidden																												#% Chance to Cast Level # [Skill] when struck	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
dmg-bleed	488	1	15	bleedmindam			16	bleedmaxdam			17	bleedlength																									0
hp-mana%	489	1	1	item_maxhp_percent			3	item_maxmana_percent																								+# to Life		Min #	Max #		0
runemaster	490	1	1	runemaster																												+# to Life		Min #	Max #		0
lifemanasteal	491	1	1	manadrainmindam			3	lifedrainmindam																								#% Mana stolen per hit		Min #	Max #		0
deadlycrush	492	1	1	item_crushingblow			3	item_deadlystrike																													0
cast-skill	493	1	11	item_skilloncast																												#% Chance to Cast Level # [Skill] on cast	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
cast-skill-hidden	494	1	11	item_skilloncast_hidden																												#% Chance to Cast Level # [Skill] on cast	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
res-all/lvl	495	1	17	item_resist_fire_perlevel			17	item_resist_cold_perlevel			17	item_resist_ltng_perlevel			17	item_resist_pois_perlevel																					0
branded	496	1	1	branded																																	0
total-maxhp	497	1	1	totalmaxhp																																	0
total-all-magic-resists	498	1	1	total_fire_resist			3	total_cold_resist			3	total_lightning_resist			3	total_poison_resist																					0
passive-summ-all-resists	499	1	1	passive_summ_elemental_resist			3	passive_summ_phys_resist																												none	0
quantity	500	1	1	extra_items																																	0
moonlight-group	501	1	15	mindamage			3	dexterity			3	tohit			3	item_tohit_percent			3	maxhp			3	item_pierce													0
crit-dmg	502	1	1	criticaldamage																																	0
summon-exceed-cap	503	1	1	summonexceedcap																																	0
max-life-one	504	1	1	maxlifeone																																	0
proj-speed	505	1	1	projectilespeed																																	0
consume-effect	506	1	1	consumeeffect																																	0
sigil-limit	507	1	1	sigillimit																																	0
miasma-chains-limit	508	1	1	miasmachainslimit																																	0
ars-dul-mephistos	509	1	1	arsdulmephistoscontrol																																	0
ars-al-diabolos	510	1	1	arsaldiaboloscontrol																																	0
ars-tor-baalos	511	1	1	arstorbaaloscontrol																																	0
pierce-all	512	1	1	passive_fire_pierce			3	passive_cold_pierce			3	passive_ltng_pierce			3	passive_pois_pierce			3	passive_dmg_pierce			3	passive_mag_pierce								+# to all Attributes		Min #	Max #	none	0
lethal-sacrifice	513	1	1	lethalsacrifice																																	0
phasing	514	1	1	phasing																																	0
unusable-item	515	1	1	unusable_item																																	0
kill-ledger-tier-1	516	1	1	kill_ledger_tier_1																																	0
kill-ledger-tier-2	517	1	1	kill_ledger_tier_2																																	0
kill-ledger-tier-3	518	1	1	kill_ledger_tier_3																																	0
kill-ledger-tier-4	519	1	1	kill_ledger_tier_4																																	0
kill-ledger-tier-5	520	1	1	kill_ledger_tier_5																																	0
kill-ledger-tier-6	521	1	1	kill_ledger_tier_6																																	0
kill-ledger-tier-7	522	1	1	kill_ledger_tier_7																																	0
kill-ledger-lucion-whisper	523	1	1	kill_ledger_lucion_whisper																																	0
kill-ledger-diablo-hellhound	524	1	1	kill_ledger_diablo_hellhound																																	0
kill-ledger-fallen-ancient-angel	525	1	1	kill_ledger_fallen_ancient_angel																																	0
kill-ledger-terror-in-the-shadows	526	1	1	kill_ledger_terror_in_the_shadows																																	0
kill-ledger-avatar-of-the-night	527	1	1	kill_ledger_avatar_of_the_night																																	0
kill-ledger-herald-of-doom	528	1	1	kill_ledger_herald_of_doom																																	0
kill-ledger-glacial-behemoth	529	1	1	kill_ledger_glacial_behemoth																																	0
kill-ledger-the-taskmaster	530	1	1	kill_ledger_the_taskmaster																																	0
kill-ledger-harbinger	531	1	1	kill_ledger_harbinger																																	0
kill-ledger-arbiter-of-souls	532	1	1	kill_ledger_arbiter_of_souls																																	0
kill-ledger-mephisto-the-invincible	533	1	1	kill_ledger_mephisto_the_invincible																																	0
kill-ledger-diablo-the-invincible	534	1	1	kill_ledger_diablo_the_invincible																																	0
kill-ledger-baal-the-invincible	535	1	1	kill_ledger_baal_the_invincible																																	0
kill-ledger-eternal-ancients	536	1	1	kill_ledger_eternal_ancients																																	0
kill-ledger-the-lich-king	537	1	1	kill_ledger_the_lich_king																																	0
kill-ledger-rathma	538	1	1	kill_ledger_rathma																																	0
kill-ledger-lucion	539	1	1	kill_ledger_lucion																																	0
ascendancy-tier-2	540	1	1	ascendancy_tier_2																																	0
ascendancy-tier-3	541	1	1	ascendancy_tier_3																																	0
ascendancy-tier-4	542	1	1	ascendancy_tier_4																																	0
ascendancy-tier-4-count	543	1	1	ascendancy_tier_4_count																																	0
ascendancy-tier-5	544	1	1	ascendancy_tier_5																																	0
str-dex-enr	545	1	1	strength			3	dexterity			3	energy																									0
str-cap	546	1	1	strength_cap																																	0
enr-cap	547	1	1	energy_cap																																	0
dex-cap	548	1	1	dexterity_cap																																	0
vit-cap	549	1	1	vitality_cap																																	0
hp-cap	550	1	1	maxhp_cap																																	0
mana-cap	551	1	1	maxmana_cap																																	0
stam-cap	552	1	1	maxstamina_cap																																	0
ac%-cap	553	1	1	item_armor_percent_cap																																	0
att-cap	554	1	1	tohit_cap																																	0
block-cap	555	1	1	toblock_cap																																	0
regen-mana-cap	556	1	1	manarecoverybonus_cap																																	0
ac-cap	557	1	1	armorclass_cap																																	0
red-dmg-cap	558	1	1	normal_damage_reduction_cap																																	0
red-mag-cap	559	1	1	magic_damage_reduction_cap																																	0
red-dmg%-cap	560	1	1	damageresist_cap																																	0
res-mag-cap	561	1	1	magicresist_cap																																	0
res-mag-max-cap	562	1	1	maxmagicresist_cap																																	0
res-fire-cap	563	1	1	fireresist_cap																																	0
res-fire-max-cap	564	1	1	maxfireresist_cap																																	0
res-ltng-cap	565	1	1	lightresist_cap																																	0
res-ltng-max-cap	566	1	1	maxlightresist_cap																																	0
res-cold-cap	567	1	1	coldresist_cap																																	0
res-cold-max-cap	568	1	1	maxcoldresist_cap																																	0
res-pois-cap	569	1	1	poisonresist_cap																																	0
res-pois-max-cap	570	1	1	maxpoisonresist_cap																																	0
fire-min-cap	571	1	1	firemindam_cap																																	0
fire-max-cap	572	1	1	firemaxdam_cap																																	0
ltng-min-cap	573	1	1	lightmindam_cap																																	0
ltng-max-cap	574	1	1	lightmaxdam_cap																																	0
magic-min-cap	575	1	1	magicmindam_cap																																	0
magic-max-cap	576	1	1	magicmaxdam_cap																																	0
cold-min-cap	577	1	1	coldmindam_cap																																	0
cold-max-cap	578	1	1	coldmaxdam_cap																																	0
pois-min-cap	579	1	1	poisonmindam_cap																																	0
pois-max-cap	580	1	1	poisonmaxdam_cap																																	0
lifesteal-cap	581	1	1	lifedrain_cap																																	0
manasteal-cap	582	1	1	manadrain_cap																																	0
velocitypercent-cap	583	1	1	velocitypercent_cap																																	0
attackrate-cap	584	1	1	attackrate_cap																																	0
regen-cap	585	1	1	hpregen_cap																																	0
hp%-cap	586	1	1	item_maxhp_percent_cap																																	0
mana%-cap	587	1	1	item_maxmana_percent_cap																																	0
thorns-cap	588	1	1	item_attackertakesdamage_cap																																	0
gold%-cap	589	1	1	item_goldbonus_cap																																	0
mag%-cap	590	1	1	item_magicbonus_cap																																	0
ama-cap	591	1	1	item_addclassskills_ama																																	0
pal-cap	592	1	1	item_addclassskills_ass																																	0
nec-cap	593	1	1	item_addclassskills_bar																																	0
sor-cap	594	1	1	item_addclassskills_dru																																	0
bar-cap	595	1	1	item_addclassskills_nec																																	0
dru-cap	596	1	1	item_addclassskills_pal																																	0
ass-cap	597	1	1	item_addclassskills_sor																																	0
war-cap	598	1	1	item_addclassskills_war																																	0
addxp-cap	599	1	1	item_addexperience_cap																																	0
heal-kill-cap	600	1	1	item_healafterkill_cap																																	0
cheap-cap	601	1	1	item_reducedprices_cap																																	0
light-cap	602	1	1	item_lightradius_cap																																	0
swing2-cap	603	1	1	item_fasterattackrate_cap																																	0
move2-cap	604	1	1	item_fastermovevelocity_cap																																	0
balance2-cap	605	1	1	item_fastergethitrate_cap																																	0
block2-cap	606	1	1	item_fasterblockrate_cap																																	0
cast2-cap	607	1	1	item_fastercastrate_cap																																	0
curse-res-cap	608	1	1	curse_resistance_cap																																	0
res-pois-len-cap	609	1	1	item_poisonlengthresist_cap																																	0
reduce-ac-cap	610	1	1	item_fractionaltargetac_cap																																	0
att%-cap	611	1	1	item_tohit_percent_cap																																	0
dmg-ac-cap	612	1	1	item_damagetargetac_cap																																	0
dmg-demon-cap	613	1	1	item_demondamage_percent_cap																																	0
dmg-undead-cap	614	1	1	item_undeaddamage_percent_cap																																	0
att-demon-cap	615	1	1	item_demon_tohit_cap																																	0
att-undead-cap	616	1	1	item_undead_tohit_cap																																	0
allskills-cap	617	1	1	item_allskills_cap																																	0
light-thorns-cap	618	1	1	item_attackertakeslightdamage_cap																																	0
freeze-cap	619	1	1	item_freeze_cap																																	0
crush-cap	620	1	1	item_crushingblow_cap																																	0
mana-kill-cap	621	1	1	item_manaafterkill_cap																																	0
deadly-cap	622	1	1	item_deadlystrike_cap																																	0
abs-fire%-cap	623	1	1	item_absorbfire_percent_cap																																	0
abs-fire-cap	624	1	1	item_absorbfire_cap																																	0
abs-ltng%-cap	625	1	1	item_absorblight_percent_cap																																	0
abs-ltng-cap	626	1	1	item_absorblight_cap																																	0
abs-mag%-cap	627	1	1	item_absorbmagic_percent_cap																																	0
abs-mag-cap	628	1	1	item_absorbmagic_cap																																	0
abs-cold%-cap	629	1	1	item_absorbcold_percent_cap																																	0
abs-cold-cap	630	1	1	item_absorbcold_cap																																	0
slow-cap	631	1	1	item_slow_cap																																	0
pierce-cap	632	1	1	item_pierce_cap																																	0
