state	*ID	group	remhit	nosend	transform	aura	curable	curse	active	restrict	disguise	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	hidedead	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	canstack	sunderfull	sunder-res-reduce	vfxweaponstate	*eol
placeholder420	420																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder421	421																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder422	422																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder423	423																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder424	424																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder425	425																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder426	426																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder427	427																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder428	428																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder429	429																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder430	430																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder431	431																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder432	432																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder433	433																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder434	434																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder435	435																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder436	436																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder437	437																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder438	438																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder439	439																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder440	440																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder441	441																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder442	442																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder443	443																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder444	444																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder445	445																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder446	446																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder447	447																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder448	448																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder449	449																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder450	450																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder451	451																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder452	452																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder453	453																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder454	454																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder455	455																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder456	456																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder457	457																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder458	458																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder459	459																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder460	460																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder461	461																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder462	462																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder463	463																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder464	464																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder465	465																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder466	466																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder467	467																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder468	468																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder469	469																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder470	470																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder471	471																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder472	472																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder473	473																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder474	474																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder475	475																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder476	476																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder477	477																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder478	478																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder479	479																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder480	480																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder481	481																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder482	482																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder483	483																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder484	484																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder485	485																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder486	486																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder487	487																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder488	488																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder489	489																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder490	490																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder491	491																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder492	492																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder493	493																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder494	494																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder495	495																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder496	496																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder497	497																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder498	498																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder499	499																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder500	500																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
thunderlightning	501																																																								90	113	255	255	255													0
redsave	502																																																								70	100	255	255	255													0
